Terminal_Id,Terminal_Name,Terminal_Province,Terminal_City,Terminal_Brgy,First_Trip,Last_Trip
45,Cavite City Transport Terminal,Cavite,Cavite City,San Roque,05:00,21:00
46,SM City Imus Terminal,Cavite,Imus,Anabu II-E,05:00,22:00
47,Anabu Kostal Terminal,Cavite,Imus,Anabu II-B,04:30,22:00
48,Buhay na Tubig Terminal,Cavite,Imus,Buhay na Tubig,05:00,21:30
49,Zapote Kalinisan Terminal,Cavite,Bacoor,Zapote III,04:30,22:00
50,Longos Transport Terminal,Cavite,Bacoor,Longos,05:00,21:30
51,Niog Terminal,Cavite,Bacoor,Niog I,05:00,21:30
52,Talaba Transport Terminal,Cavite,Bacoor,Talaba V,05:00,21:30
53,Manggahan Transport Terminal,Cavite,General Trias,Manggahan,05:00,21:30
54,Arnaldo Highway Terminal,Cavite,General Trias,San Francisco,05:00,21:30
55,Governor Ferrer Terminal,Cavite,General Trias,Pinagtipunan,05:00,21:00
56,Lancaster New City Terminal,Cavite,General Trias,Navarro,05:00,21:30
57,EPZA Rosario Terminal,Cavite,Rosario,Tejero,05:00,21:30
58,Tanza Crossing Terminal,Cavite,Tanza,Paradahan I,05:00,21:00
59,Amaya Transport Terminal,Cavite,Tanza,Amaya I,05:00,20:30
60,Naic Highway Terminal,Cavite,Naic,Bagong Kalsada,05:00,20:30
61,Ternate Junction Terminal,Cavite,Naic,Labac,05:00,20:00
62,Indang Junction Terminal,Cavite,Indang,Bancod,05:00,20:00
63,Trece-Indang Gateway Terminal,Cavite,Trece Martires,Conchu,05:00,21:00
64,Silang Junction North Terminal,Cavite,Tagaytay,Silang Junction North,05:00,22:00
65,Mahogany Transport Terminal,Cavite,Tagaytay,Maharlika East,05:00,21:30
66,People's Park Access Terminal,Cavite,Tagaytay,Sungay East,05:30,20:30
67,Carmona Exit Terminal,Cavite,Carmona,Maduya,05:00,21:30
68,GMA Terminal,Cavite,General Mariano Alvarez,Poblacion,05:00,21:00
69,Golden City Terminal,Cavite,General Mariano Alvarez,San Jose,05:00,21:00
70,Manggahan-GMA Boundary Terminal,Cavite,General Mariano Alvarez,Gavino Maderan,05:00,21:00
71,Kawit Centennial Terminal,Cavite,Kawit,Magdalo,05:00,21:00
72,Binakayan Transport Terminal,Cavite,Kawit,Binakayan-Kanluran,05:00,21:00
73,Noveleta-Bacoor Boundary Terminal,Cavite,Noveleta,San Rafael IV,05:00,20:30
74,Cavite City San Antonio Terminal,Cavite,Cavite City,San Antonio,05:00,21:00
75,Cavite City Dalahican Terminal,Cavite,Cavite City,Dalahican,05:00,20:30
76,Maragondon Public Market Terminal,Cavite,Maragondon,Poblacion II,05:00,20:00
77,Magallanes Transport Terminal,Cavite,Magallanes,Poblacion I,05:00,19:30
78,General Emilio Aguinaldo Terminal,Cavite,General Emilio Aguinaldo,Poblacion I,05:00,19:30
79,Alfonso Terminal,Cavite,Alfonso,Poblacion II,05:00,20:00
80,Mendez Terminal,Cavite,Mendez,Poblacion I,05:00,20:00
81,Amadeo Terminal,Cavite,Amadeo,Poblacion I,05:00,20:00
